ISBN,abstract,documentType,year,id,type,title,status,datePublishing,journal,link,authors__id,authors__name
,"Lograr una participación de los usuarios con tinte periodístico se ha convertido en el gran desafío de los medios digitales de la Comunidad Andina y del mundo. La presente investigación analiza las formas de interacción, medios para relacionarse, modelos y herramientas que poseen los cibermedios para que el usuario aporte datos relevantes. Los diarios digitales objeto de estudio son: El Comercio de Perú, El Tiempo de Colombia, El Deber de Bolivia y El Universo de Ecuador. Metodología. Se basa en una investigación de tipo cualitativa y cuantitativa, mediante la observación de los medios digitales durante dos semanas, para determinar niveles de interactividad y participación de los ciudadanos, criterios y valoraciones que dan a las noticias. Resultados. La investigación concluye que la participación de los usuarios proporciona credibilidad, mantiene al medio digital vivo y cumple con el propósito del cibermedio que es educar, entretener y formar a su audiencia. Los usuarios pueden ser incluso productores de nuevos contenidos y practicar un periodismo ciudadano responsable.",article,2016,7680,Scopus,Aporte de los usuarios en la construcción de contenidos digitales en los principales medios de comunicación de la Comunidad Andina,Publicado,,Revista Latina de Comunicacion Social,https://doi.org/10.4185/RLCS-2016-1138,1105855520,Carrión Salinas Gianella Alejandra
,"Esta investigación comprende el estudio del uso de la Internet (como medio de comunicación) y la red social Facebook en los adolescentes del Ecuador del año 2015. Se trabajó con una muestra de 30 instituciones educativas de nivel medio en 13 ciudades del Ecuador, se realizaron 7542 encuestas en la población objeto de estudio que fueron los adolescentes de décimo año de educación básica a tercer año de bachillerato (14 a 18 años), considerados generacionalmente como Millennials. Los resultados indican que los principales usos de la Internet en este grupo específico incluyenobservar videos en Youtubee ingresara redes sociales —específicamente Facebook— en donde se verifican las actividades más importantes y los momentos en que acceden estosusuarios, hoy conocidos como prosumidores",article,2016,7679,Scopus,Uso de Internet y la Plataforma Facebook en Adolescentes Ecuatorianos,Publicado,,"Conferencia Ibérica sobre Sistemas y Tecnologías de la Información, CISTI",https://doi.org/10.1109 / CISTI.2016.7521584,1105855520,Carrión Salinas Gianella Alejandra
,Resumen y estado del Arte sobre José Gaos y su filosofía.,art_and_literature,2019,7678,ISI,José Gaos y el pensamiento hispanoamericano de lengua española en el marco de la filosofía moderna y contemporánea,Publicado,01/09/2013,https://dialnet.unirioja.es/servlet/revista?codigo=8711,http://ahf-filosofia.es/media/files/HISPANISMO%20FILOS%2018completo.pdf,BA673385,Arevalo Benito Hector
,"aBsTRacT: It is fairly well known that José Gaos (1900-1969) suggested the possibility of talking about «Latin\r\nAmerican thinking»: referring to «thinking», he argued that the subject matter is Philosophy, while at the same\r\ntime possessing aesthetic forms of reasoning, and also that moral thought and ideology (or «philosophy») can\r\nbe found in literature. Therefore, Gaos argues that in thinking written in the Spanish Language, on both sides\r\nof the Atlantic, the features of a thinking that is aesthetic in form but philosophical in its ideas could be\r\nobserved.\r\nKeY woRds: «Latin American Thought», José Gaos, Philosophy, Literature, Aesthetics, (Non)Metaphysics,\r\nEssay, Scientific article, Spain, America.\r\nResUmeN: Es bastante desconocido que José Gaos (1900-1969) surgirió la posibilidad de hablar de\r\n«pensamiento hispanoamericano»: al referirse al «pensamiento», dijo que se trata de una materia que es\r\nfilosofía, al tiempo que posee formas estéticas de razonar, y que, además se encuentra en la literatura el\r\npensamiento moral, y la ideología; es decir, la filosofía. Así mismo, Gaos sostuvo que en el pensamiento\r\nescrito en lengua española, en ambos lados del Atlántico, ya se podían observar estos rasgos: un pensamiento\r\nestético en sus formas, pero filosófico en sus contenidos.\r\npaLaBRas cLave: Pensamiento Hispanoamericano, José Gaos, Filosofía, Literatura, Estética, (A)Metafísica,\r\nensayo, artículo, España, América.",article,2015,7677,Latindex Catálogo,EL INGREDIENTE ESTÉTICO. Apuntes sobre las relaciones entre filosofía y literatura en José Gaos.,Publicado,01/09/2015,TAULA.QUADERNS DE PENSAMENT.,https://dialnet.unirioja.es/servlet/articulo?codigo=5719536,BA673385,Arevalo Benito Hector
,"This paper investigates in detail about the early years of José Gaos (1900-\r\n1969) and his education in philosophy and literature. Therefore, we know that their \r\nstudies (academic or not) were not purely “philosophical” in 1915. Literature and \r\nphilosophy played in Gaos an equally important role. The first real encounter with \r\nphilosophy happens before he comes to Valencia in 1915; but in this year Gaos also \r\nreceives a strong education, in aesthetic and literary, through press and philosophi\r\n-\r\ncal journals, and especially within the group formed with Max Aub, José Medina \r\nEcheverría and his brother Carlos Gaos.\r\n\r\nuestra intención en este texto es investigar acerca de los primeros \r\naños de formación del pensamiento de José Gaos (1900-1969); así pues, no pare\r\n-\r\nce ser demasiado erróneo pensar que aquél, hacia 1915 no era, aún, puramente \r\n“filosófico”: la Filosofía representaba parte de su formación, cumpliendo el mismo \r\npapel —eso sí: básico y fundamental— que desempeñó la Literatura. El primer \r\nauténtico encuentro con la Filosofía se daría antes de su llegada a Valencia, en ese \r\nmismo año de 1915; pero ese también es el año en que Gaos recibirá una sólida \r\nformación estético-literaria a través de prensa y revistas filosóficas, especialmente \r\nen el grupo que conformó junto con Max Aub, José Medina Echeverría y su hermano Carlos Gaos.",article,2016,7676,Latindex Catálogo,La temprana formación literaria del joven José Gaos en Valencia (1915-1919),Publicado,01/05/2016,,https://doi.org/10.7203/qfia.3.1.7218,BA673385,Arevalo Benito Hector
,"El presente trabajo consiste en preguntar sobre los avances y retrocesos de la política educativa ecuatoriana durante el gobierno de Rafael Correa bajo un método de análisis que proviene de categorías y conceptos de la política pública y educativa. Se repasan los principales indicadores que describan los logros, pero también se recogen aquellos aspectos críticos que se evi-denciaron durante su periodo. Al final veremos cuáles serán los principales desafíos educativos de la sociedad ecuatoriana en un contexto de transición política, recesión económica y globalización neocapitalista.",article,2019,7674,Artículos Publicados de Divulgación Internacional,"Aciertos, críticas y desafíos pendientes de la política educativa durante la presidencia de Rafael Correa. Ecuador 2007-2017",Aceptado,26/02/2019,Revista de Investigación Educativa,http://www.rediech.org/ojs/2017/index.php/ie_rie_rediech/article/view/24/13,1714546312,Guayasamin Mogrovejo Mateo Nicolas
,"This article describes the developing of a computer tool to evaluate the liquefaction potential in seismic zones. The tool consists of: i) a pre-processing script, Seismological Research Letters Volume 89, Number 2B March/April 2018 813 ii) calculation or process script, and iii) a post-processing script. The pre and\r\npost-processing stages are carried out by using the Matlab software through the GUIDE development environment, while the process uses OpenSees as a calculation engine. The layered deposit of cohesionless soil subject to a seismic base excitation is represented by a 2D finite element model using nine-node quadrilateral elements by considering the displacement and pressure of pores as degrees\r\nof freedom. The validation process showed that the generated soil column model properly represents the problem posed. The application of this tool was done by modeling 1325 samples corresponding to 14 theoretical scenarios in which the following variables were considered and permuted: depth of the soil column, stratigraphy, groundwater level, relative soil density, and intensity of seismic load. All this, in order to know the degree of influence of each of these parameters on the liquefaction phenomenon. The results showed that the phreatic level and the relative density of the soil are the most sensitive variables, which are in accordance with the theoretical foundations studied. Additionally, there was geotechnical information from two soil profiles of the Tarqui parish, Ecuador (area affected by soil liquefaction during the 2016 Ecuador earthquake). This information was used to evaluate and verify the susceptibility of these soils before the aforementioned phenomenon. Finally, It is worth mention that this tool is part of the Virtual Laboratory of the Technical University of Loja (UTPL), which is managed by its Research Group of Seismic Engineering and Seismology (GRISSUTPL) (http:www.ingenieriasismica.utpl.edu.ec/) \r\n",abstract_report,2018,7673,Scopus,Developing Software to Evaluate the Liquefaction Potential by Using 2D Numerical Modeling: Applications,Publicado,01/04/2018,Seismological Research Letters,https://doi.org/10.1785/0220180082,1103500078,Duque Yaguache Edwin Patricio
,,,,,,,,,,,1103042378,Serrano Agila Richard German
,"The city of Loja is mainly supplied with surface water and only a few places in the city use groundwater. For sustainable management and consumption; The development of groundwater inventories, the determination of physical and chemical characteristics and the analysis of the modifying phenomena and the sources of contamination that can affect these waters, is vital. Chemical analyzes were performed on samples of groundwater from the Loja basin and with all these data, using bivariate diagrams (TDS vs Na / (Na + Ca), TDS vs Cl / (Cl + HCO3), Mg / Na vs Ca / Na and HCO3 / Na vs Ca / Na), determine the hydrochemical processes that control the composition of groundwater. New hydrological perspectives for the region: in the Loja basin, the rock-water interaction determines; For the most part, the composition of groundwater. The predominant ion in most of these waters was HCO3, followed by Cl-. Ions such as sulphate, bicarbonate, calcium and gypsum come from the inclemency of calcite, dolomite and gypsum (Ca + Mg vs. HCO3, SO42- = r2 = 0.93). Weathering with silicate also generates an influx of calcium, magnesium and sodium into the groundwater. The local increases in the K + and NO3 levels of some sampling points cannot be justified by the interaction with the geological materials of the basin, so these variations are probably influenced by anthropic factors such as: contamination of domestic wastewater, application of fertilizers and accumulation of garbage contiguous to the places where the water emerges. The springs were more affected by anthropogenic activity.",article,2019,7671,Scopus,Hydrochemical characterization of groundwater in the Loja Basin (Ecuador),Aceptado,,Applied Geochemistry,,1103042378,Serrano Agila Richard German
,Se investiga el potencial de especies vegetales nativas para contrarestar el impacto ambiental causado por la minería artesanal en suelos ecuatorianos.,abstract_report,2019,7670,Artículos Publicados de Divulgación Local,Especies vegetales para frenar el impacto por mercurio,Publicado,,Perspectivas,https://perspectivas.utpl.edu.ec/,108760264,Kalinhoff Rojas Carolina Gertrudis
